"","Province/State","Country/Region","date","CumConfirmed","CumDeaths","CumRecovered"
"107","Bihar","India",2020-03-04,0,0,0
"108","Bihar","India",2020-03-05,0,0,0
"109","Bihar","India",2020-03-06,0,0,0
"110","Bihar","India",2020-03-07,0,0,0
"111","Bihar","India",2020-03-08,0,0,0
"112","Bihar","India",2020-03-09,0,0,0
"113","Bihar","India",2020-03-10,0,0,0
"114","Bihar","India",2020-03-11,0,0,0
"115","Bihar","India",2020-03-12,0,0,0
"116","Bihar","India",2020-03-13,0,0,0
"117","Bihar","India",2020-03-14,0,0,0
"118","Bihar","India",2020-03-15,0,0,0
"119","Bihar","India",2020-03-16,0,0,0
"120","Bihar","India",2020-03-17,0,0,0
"121","Bihar","India",2020-03-18,0,0,0
"122","Bihar","India",2020-03-19,0,0,0
"123","Bihar","India",2020-03-20,0,0,0
"124","Bihar","India",2020-03-21,0,0,0
"125","Bihar","India",2020-03-22,2,0,1
"126","Bihar","India",2020-03-23,2,0,1
"127","Bihar","India",2020-03-24,3,0,1
"128","Bihar","India",2020-03-25,4,0,1
"129","Chandigarh","India",2020-01-22,0,0,0
"130","Chandigarh","India",2020-01-23,0,0,0
"131","Chandigarh","India",2020-01-24,0,0,0
"132","Chandigarh","India",2020-01-25,0,0,0
"133","Chandigarh","India",2020-01-26,0,0,0
"134","Chandigarh","India",2020-01-27,0,0,0
"135","Chandigarh","India",2020-01-28,0,0,0
"136","Chandigarh","India",2020-01-29,0,0,0
"137","Chandigarh","India",2020-01-30,0,0,0
"138","Chandigarh","India",2020-01-31,0,0,0
"139","Chandigarh","India",2020-02-01,0,0,0
"140","Chandigarh","India",2020-02-02,0,0,0
"141","Chandigarh","India",2020-02-03,0,0,0
"142","Chandigarh","India",2020-02-04,0,0,0
"143","Chandigarh","India",2020-02-05,0,0,0
"144","Chandigarh","India",2020-02-06,0,0,0
"145","Chandigarh","India",2020-02-07,0,0,0
"146","Chandigarh","India",2020-02-08,0,0,0
"147","Chandigarh","India",2020-02-09,0,0,0
"148","Chandigarh","India",2020-02-10,0,0,0
"149","Chandigarh","India",2020-02-11,0,0,0
"150","Chandigarh","India",2020-02-12,0,0,0
"151","Chandigarh","India",2020-02-13,0,0,0
"152","Chandigarh","India",2020-02-14,0,0,0
"153","Chandigarh","India",2020-02-15,0,0,0
"154","Chandigarh","India",2020-02-16,0,0,0
"155","Chandigarh","India",2020-02-17,0,0,0
"156","Chandigarh","India",2020-02-18,0,0,0
"157","Chandigarh","India",2020-02-19,0,0,0
"158","Chandigarh","India",2020-02-20,0,0,0
"159","Chandigarh","India",2020-02-21,0,0,0
"160","Chandigarh","India",2020-02-22,0,0,0
"161","Chandigarh","India",2020-02-23,0,0,0
"162","Chandigarh","India",2020-02-24,0,0,0
"163","Chandigarh","India",2020-02-25,0,0,0
"164","Chandigarh","India",2020-02-26,0,0,0
"165","Chandigarh","India",2020-02-27,0,0,0
"166","Chandigarh","India",2020-02-28,0,0,0
"167","Chandigarh","India",2020-02-29,0,0,0
"168","Chandigarh","India",2020-03-01,0,0,0
"169","Chandigarh","India",2020-03-02,0,0,0
"170","Chandigarh","India",2020-03-03,0,0,0
"171","Chandigarh","India",2020-03-04,0,0,0
"172","Chandigarh","India",2020-03-05,0,0,0
"173","Chandigarh","India",2020-03-06,0,0,0
"174","Chandigarh","India",2020-03-07,0,0,0
"175","Chandigarh","India",2020-03-08,0,0,0
"176","Chandigarh","India",2020-03-09,0,0,0
"177","Chandigarh","India",2020-03-10,0,0,0
"178","Chandigarh","India",2020-03-11,0,0,0
"179","Chandigarh","India",2020-03-12,0,0,0
"180","Chandigarh","India",2020-03-13,0,0,0
"181","Chandigarh","India",2020-03-14,0,0,0
"182","Chandigarh","India",2020-03-15,0,0,0
"183","Chandigarh","India",2020-03-16,0,0,0
"184","Chandigarh","India",2020-03-17,0,0,0
"185","Chandigarh","India",2020-03-18,0,0,0
"186","Chandigarh","India",2020-03-19,1,0,0
"187","Chandigarh","India",2020-03-20,1,0,0
"188","Chandigarh","India",2020-03-21,1,0,0
"189","Chandigarh","India",2020-03-22,5,0,0
"190","Chandigarh","India",2020-03-23,6,0,0
"191","Chandigarh","India",2020-03-24,7,0,0
"192","Chandigarh","India",2020-03-25,7,0,0
"193","Chhattisgarh","India",2020-01-22,0,0,0
"194","Chhattisgarh","India",2020-01-23,0,0,0
"195","Chhattisgarh","India",2020-01-24,0,0,0
"196","Chhattisgarh","India",2020-01-25,0,0,0
"197","Chhattisgarh","India",2020-01-26,0,0,0
"198","Chhattisgarh","India",2020-01-27,0,0,0
"199","Chhattisgarh","India",2020-01-28,0,0,0
"200","Chhattisgarh","India",2020-01-29,0,0,0
"201","Chhattisgarh","India",2020-01-30,0,0,0
"202","Chhattisgarh","India",2020-01-31,0,0,0
"203","Chhattisgarh","India",2020-02-01,0,0,0
"204","Chhattisgarh","India",2020-02-02,0,0,0
"205","Chhattisgarh","India",2020-02-03,0,0,0
"206","Chhattisgarh","India",2020-02-04,0,0,0
"207","Chhattisgarh","India",2020-02-05,0,0,0
"208","Chhattisgarh","India",2020-02-06,0,0,0
"209","Chhattisgarh","India",2020-02-07,0,0,0
"210","Chhattisgarh","India",2020-02-08,0,0,0
"211","Chhattisgarh","India",2020-02-09,0,0,0
"212","Chhattisgarh","India",2020-02-10,0,0,0
"213","Chhattisgarh","India",2020-02-11,0,0,0
"214","Chhattisgarh","India",2020-02-12,0,0,0
"215","Chhattisgarh","India",2020-02-13,0,0,0
"216","Chhattisgarh","India",2020-02-14,0,0,0
"217","Chhattisgarh","India",2020-02-15,0,0,0
"218","Chhattisgarh","India",2020-02-16,0,0,0
"219","Chhattisgarh","India",2020-02-17,0,0,0
"220","Chhattisgarh","India",2020-02-18,0,0,0
"221","Chhattisgarh","India",2020-02-19,0,0,0
"222","Chhattisgarh","India",2020-02-20,0,0,0
"223","Chhattisgarh","India",2020-02-21,0,0,0
"224","Chhattisgarh","India",2020-02-22,0,0,0
"225","Chhattisgarh","India",2020-02-23,0,0,0
"226","Chhattisgarh","India",2020-02-24,0,0,0
"227","Chhattisgarh","India",2020-02-25,0,0,0
"228","Chhattisgarh","India",2020-02-26,0,0,0
"229","Chhattisgarh","India",2020-02-27,0,0,0
"230","Chhattisgarh","India",2020-02-28,0,0,0
"231","Chhattisgarh","India",2020-02-29,0,0,0
"232","Chhattisgarh","India",2020-03-01,0,0,0
"233","Chhattisgarh","India",2020-03-02,0,0,0
"234","Chhattisgarh","India",2020-03-03,0,0,0
